"","imdb_id","title","genres","release_date","release_year","release_month","country","production_companies","budget","revenue","duration","actors","director","main_country"
"1087",132477,"October Sky (1999)","Drama",1999-02-19,"1999","2","United States","Universal Pictures",2.5e+07,5905250,108,"Jake Gyllenhaal;Chris Cooper;Laura Dern;Chris Owen;William Lee Scott;Chad Lindberg;Natalie Canerday;Scott Thomas;Randy Stripling;Chris Ellis;Elya Baskin;Courtney Cole-Fendley;David Dwyer;Terry Loughlin;Kaili Hollister;David Copeland;Don Henderson Baker;Tom Kagy","Joe Johnston","United States"
"1093",98084,"Pet Sematary (1989)","Horror",1989-04-21,"1989","4","United States","Paramount Pictures;Laurel Productions",11500000,12046179,103,"Dale Midkiff;Denise Crosby;Fred Gwynne;Brad Greenquist;Michael Lombard;Miko Hughes;Blaze Berdahl;Susan Blommaert;Mara Clark;Kavi Raz;Mary Louise Wilson;Andrew Hubatsek;Liz Davies;Kara Dalke;Matthew August Ferrell;Lisa Stathoplos;Stephen King;Elizabeth Ureneck","Mary Lambert","United States"
"1094",106557,"Children of the Corn II: The Final Sacrifice (1993)","Horror",1993-01-29,"1993","1","United States","Fifth Avenue Entertainment;Stone Stanley Productions;Corn Cobb Productions",9e+05,2719750,92,"Terence Knox;Paul Scherrer;Ryan Bollman;Christie Clark;Rosalind Allen;Ned Romero;Ed Grady;John Bennes;Wallace Merck;Joe Inscoe;Kellie Bennett;Robert C. Treveiler;Leon Pridgen;Marty Terry;Ted Travelstead;Sean Bridgers;Aubrey Dollar;Kristy Angell","David Price","United States"
"1095",85333,"Christine (1983)","Horror",1983-12-09,"1983","12","United States","Columbia Pictures;Delphi Premier Productions;Polar Film",9700000,3408904,110,"Keith Gordon;John Stockwell;Alexandra Paul;Robert Prosky;Harry Dean Stanton;Christine Belford;Roberts Blossom;William Ostrander;David Spielberg;Malcolm Danare;Steven Tash;Stuart Charno;Kelly Preston;Marc Poppel;Robert Darnell;Richard Collier;Bruce French;Douglas Warhit","John Carpenter","United States"
"1096",84412,"Night Shift (1982)","Comedy",1982-07-30,"1982","7","United States","Major Studio Partners;The Ladd Company",8100000,2539633,106,"Henry Winkler;Michael Keaton;Shelley Long;Gina Hecht;Pat Corley;Bobby Di Cicco;Nita Talbot;Basil Hoffman;Tim Rossovich;Clint Howard;Joe Spinell;Cheryl Carter;Becky Gonzalez;Corki Grazer;Jaid Barrymore;Ava Lazar;Robbin Young;Ola Ray","Ron Howard","United States"
"1098",122933,"Analyze This (1999)","Comedy",1999-03-05,"1999","3","United StatesAustralia","Village Roadshow Pictures;NPV Entertainment;Baltimore Pictures",8e+07,18383507,103,"Robert De Niro;Billy Crystal;Lisa Kudrow;Chazz Palminteri;Kresh Novakovic;Bart Tangredi;Michael Straka;Joseph Rigano;Joe Viterelli;Richard C. Castellano;Molly Shannon;Max Casella;Frank Pietrangolare;Kyle Sabihy;Bill Macy;Rebecca Schull;Pat Cooper;Leo Rossi","Harold Ramis","United States"
"1100",139134,"Cruel Intentions (1999)","Drama",1999-03-05,"1999","3","United States","Columbia Pictures;Original Film;Newmarket Capital Group",10500000,13020565,97,"Sarah Michelle Gellar;Ryan Phillippe;Reese Witherspoon;Selma Blair;Louise Fletcher;Joshua Jackson;Eric Mabius;Sean Patrick Thomas;Swoosie Kurtz;Christine Baranski;Alaina Reed-Hall;Deborah Offner;Tara Reid;Herta Ware;Hiep Thi Le;Charlie O'Connell;Fred Norris;Ginger Williams","Roger Kumble","United States"
"1101",127288,"Six Ways to Sunday (1997)","Comedy",1999-03-05,"1999","3","United States","Prosperity Electric;Scout Productions",2500000,9521,97,"Norman Reedus;Debbie Harry;Adrien Brody;Paul D'Amato;Holter Graham;Peter Appel;Kathy Lee Hart;Elina Löwensohn;Paul Lazar;Eugene Leong;Clark Gregg;Isaac Hayes;Steve Itkin;Jerry Adler;Anna Marie Wieder;Anna Thomson;Vincent Pastore;Chris Mackin","Adam Bernstein","United States"
"1102",120646,"Deep End of the Ocean, The (1999)","Drama",1999-03-12,"1999","3","United States","Columbia Pictures;Mandalay Entertainment;Via Rosa Productions",3.8e+07,5558400,106,"Michelle Pfeiffer;Treat Williams;Whoopi Goldberg;Jonathan Jackson;Cory Buck;Ryan Merriman;Alexa PenaVega;Michael McGrady;Brenda Strong;Michael McElroy;Tony Musante;Rose Gregorio;John Kapelos;Lucinda Jenney;John Roselius;K.K. Dodds;Joey Simmrin;Holly Towne","Ulu Grosbard","United States"
"1103",144814,"Rage: Carrie 2, The (1999)","Horror",1999-03-12,"1999","3","United States","United Artists;Red Bank Films",2.1e+07,7065123,104,"Emily Bergl;Jason London;Dylan Bruno;J. Smith-Cameron;Amy Irving;Zachery Ty Bryan;John Doe;Gordon Clapp;Rachel Blanchard;Charlotte Ayanna;Justin Urich;Mena Suvari;Eli Craig;Eddie Kaye Thomas;Clint Jordan;Steven Ford;Kate Skinner;Rus Blackwell","Katt Shea;Robert Mandel(uncredited)","United States"
"1106",107626,"My Boyfriend's Back (1993)","Comedy",1993-08-06,"1993","8","United States","Touchstone Pictures;Touchwood Pacific Partners 1",1.2e+07,1465476,85,"Andrew Lowery;Traci Lind;Danny Zorn;Edward Herrmann;Mary Beth Hurt;Jay O. Sanders;Libby Villari;Matthew Fox;Philip Seymour Hoffman;Paul Dooley;Austin Pendleton;David Womack Galewsky;Zachary Lefenfeld;Nicholas Waggoner;Zack Steeg;Brooke Adams;Bob Dishy;Cloris Leachman","Bob Balaban","United States"
"1107",118665,"Baby Geniuses (1999)","Comedy",1999-03-12,"1999","3","United States","Crystal Sky Worldwide;Triumph",1.2e+07,5613587,97,"Kathleen Turner;Christopher Lloyd;Kim Cattrall;Peter MacNicol;Dom DeLuise;Ruby Dee;Kyle Howard;Kaye Ballard;Leo Fitzgerald;Myles Fitzgerald;Gerry Fitzgerald;Connor Leggett;Griffin Leggett;Megan Robbins;Gabrielle Robbins;Brianna McConnell;Brittany McConnell;Jacob Handy","Bob Clark","United States"
"1112",118892,"Dangerous Beauty (1998)","Drama",1998-02-20,"1998","2","United States","New Regency Productions;Arnon Milchan Productions;The Bedford Falls Company",8e+06,105989,111,"Catherine McCormack;Rufus Sewell;Oliver Platt;Fred Ward;Naomi Watts;Moira Kelly;Jacqueline Bisset;Jeroen Krabbé;Joanna Cassidy;Melina Kanakaredes;Daniel Lapaine;Justine Miceli;Jake Weber;Simon Dutton;Grant Russell;Peter Eyre;Carla Cassola;Gianni Musy","Marshall Herskovitz","United States"
"1114",131369,"EDtv (1999)","Comedy",1999-03-26,"1999","3","United States","Imagine Entertainment;Universal Pictures",8e+07,8311290,122,"Matthew McConaughey;Jenna Elfman;Geoffrey Blake;Gail Boggs;Jenna Byrne;Merrin Dungey;Ian Gomez;Gavin Grazer;Chris Hogan;Arianna Huffington;Larry Flash Jenkins;Wendle Josepher;Scott LaRose;John Livingston;Mitzi McCall;Jim Meskimen;Don Most;Rick Overton","Ron Howard","United States"
"1119",129280,"Out-of-Towners, The (1999)","Comedy",1999-04-02,"1999","4","United States","Cherry Alley Productions;Cort/Madden Productions;Paramount Pictures",7.5e+07,8224215,90,"Steve Martin;Goldie Hawn;John Cleese;Mark McKinney;Oliver Hudson;Valerie Perri;Steve Mittleman;Randall Arney;Carlease Burke;William Duell;J.P. Bumstead;Peggy Mannix;Anne Haney;Charlie Dell;Jordan Baker;Tom Riis Farrell;Dani Klein;Daniel Parker","Sam Weisman","United States"
"1125",166195,"Foolish (1999)","Comedy",1999-04-09,"1999","4","United States","No Limit Films;Shooting Star Pictures",2e+06,2184633,84,"Eddie Griffin;Master P;Amie Petersen;Frank Sivero;Daphne Duplaix;Jonathan Banks;Andrew Dice Clay;Sven-Ole Thorsen;Marla Gibbs;Traci Bingham;Bill Nunn;John Marlo;Clifton Powell;Anthony Johnson;Anthony Boswell;Marqel Lee;Honest John;Bill Duke","Dave Meyers","United States"
"1128",136244,"Hideous Kinky (1998)","Drama",1999-01-13,"1999","1","United KingdomFrance","AMLF;Arts Council of England;British Broadcasting Corporation (BBC)",1.2e+07,82431,98,"Kate Winslet;Bella Riza;Saïd Taghmaoui;Carrie Mullan;Pierre Clémenti;Abigail Cruttenden;Ahmed Boulane;Sira Stampe;Amidou;Michelle Fairley;Kevin McKidd;Peter Youngblood Hills;Mohcine Barmouni;Annouar Zrika;Mohamed Cherkaoui;Abderrahim Bargache;Khaldi Cherif;Ahmed Madha","Gillies MacKinnon","United Kingdom"
"1130",120797,"Pushing Tin (1999)","Comedy",1999-04-23,"1999","4","GermanyUnited States","3 Miles Apart Productions Ltd.;Art Linson Productions;Dogstar Films",3.3e+07,3555032,124,"John Cusack;Billy Bob Thornton;Cate Blanchett;Angelina Jolie;Jake Weber;Kurt Fuller;Vicki Lewis;Matt Ross;Jerry Grayson;Michael Willis;Philip Akin;Mike O'Malley;Neil Crone;Matt Gordon;Joe Pingue;Shaun Majumder;Dwight McFee;Rob Smith","Mike Newell","Germany"
"1131",126886,"Election (1999)","Comedy",1999-05-07,"1999","5","United States","Bona Fide Productions;MTV Films;Paramount Pictures",2.5e+07,119080,103,"Matthew Broderick;Reese Witherspoon;Chris Klein;Jessica Campbell;Mark Harelik;Phil Reeves;Molly Hagan;Delaney Driscoll;Colleen Camp;Frankie Ingrassia;Matt Malloy;Jeanine Jackson;Holmes Osborne;Loren Nelson;Emily Martin;Jonathan Marion;Amy Falcone;Matt Justesen","Alexander Payne","United States"
"1138",160298,"Trippin' (1999)","Comedy",1999-05-12,"1999","5","United States","Beacon Communications",3e+06,2527909,94,"Deon Richmond;Donald Faison;Guy Torry;Maia Campbell;Aloma Wright;Harold Sylvester;Cleavon McClendon;Bill Henderson;Michael Warren;Countess Vaughn;Stoney Jackson;Dartanyan Edmonds;Anthony Anderson;Charles Walker;Davis Henry;Natashia Williams;Jonathan T. Floyd;Arif S. Kinchen","David Raynr","United States"
"1151",126261,"Desert Blue (1998)","Drama",1999-03-01,"1999","3","United States","Ignite Entertainment;HSX Films",2e+06,13092,90,"Casey Affleck;Brendan Sexton III;Kate Hudson;Christina Ricci;John Heard;Ethan Suplee;Sara Gilbert;Isidra Vega;Peter Sarsgaard;Rene Rivera;Lee Holmes;Lucinda Jenney;Jerry Agee;Daniel von Bargen;Richmond Arquette;Michael Ironside;Nate Moore;Ntare Guma Mbaho Mwine","Morgan J. Freeman","United States"
"1152",164085,"Limbo (1999)","Drama",1999-07-07,"1999","7","United States","Anarchist's Convention Films;Green/Renzi",1e+07,139634,126,"David Strathairn;Mary Elizabeth Mastrantonio;Vanessa Martinez;Michael Laskin;Leo Burmester;Hermínio Ramos;Dawn McInturff;Tom Biss;Jimmy MacDonell;Kathryn Grody;Rita Taggart;Mérit Carlson-van Dort;Monica Brandner;Maria Gladziszewski;Kris Kristofferson;Dan Rinner;Stephen J. Lang;Casey Siemaszko","John Sayles","United States"
"1158",120731,"Legend of 1900, The (a.k.a. The Legend of the Pianist on the Ocean) (Leggenda del pianista sull'oceano) (1998)","Drama",1998-10-28,"1998","10","Italy","Sciarlò;Medusa Film",9e+06,39200,169,"Tim Roth;Pruitt Taylor Vince;Mélanie Thierry;Bill Nunn;Clarence Williams III;Peter Vaughan;Niall O'Brien;Alberto Vazquez;Gabriele Lavia;John Armstead;Cory Buck;Norman Chancer;Sidney Cole;Katy Monique Cuomo;Luigi De Luca;Agostino Di Giorgio;Nicola Di Pinto;Harry Ditson","Giuseppe Tornatore","Italy"
"1159",120370,"Trekkies (1997)","Documentary",2002-11-08,"2002","11","United States","Neo Art & Logic;Trekkies Productions",375000,125636,86,"Denise Crosby;Frank D'Amico;Barbara Adams;Denis Bourguignon;David Greenstein;Laurel Greenstein;Gabriel Köerner;Richard Koerner;Rich Kronfeld;Joyce Mason;Evelyn De Biase;Anne Kathleen Murphy;Majel Barrett;James Doohan;DeForest Kelley;Walter Koenig;Nichelle Nichols;Leonard Nimoy","Roger Nygard","United States"
"1160",142342,"Big Daddy (1999)","Comedy",1999-06-25,"1999","6","United States","Jack Giarraputo Productions;Out of the Blue... Entertainment",34200000,41536370,93,"Adam Sandler;Joey Lauren Adams;Jon Stewart;Cole Sprouse;Dylan Sprouse;Josh Mostel;Leslie Mann;Allen Covert;Rob Schneider;Kristy Swanson;Joseph Bologna;Peter Dante;Jonathan Loughran;Steve Buscemi;Tim Herlihy;Edmund Lyndeck;Larkin Malloy;Samantha Brown","Dennis Dugan","United States"
"1164",162677,"Summer of Sam (1999)","Drama",1999-07-02,"1999","7","United States","Touchstone Pictures;40 Acres & A Mule Filmworks;Hostage Productions",2.2e+07,5952452,142,"John Leguizamo;Adrien Brody;Mira Sorvino;Jennifer Esposito;Michael Rispoli;Saverio Guerra;Brian Tarantina;Al Palagonia;Ken Garito;Bebe Neuwirth;Patti LuPone;Mike Starr;Anthony LaPaglia;Roger Guenveur Smith;Ben Gazzara;Joe Lisi;James Reno;Arthur J. Nascarella","Spike Lee","United States"
"1167",137363,"Arlington Road (1999)","Thriller",1999-07-09,"1999","7","United States","Screen Gems;Lakeshore Entertainment;Arlington Road Productions Corporation",3.1e+07,7515145,117,"Jeff Bridges;Tim Robbins;Joan Cusack;Hope Davis;Robert Gossett;Mason Gamble;Spencer Treat Clark;Stanley Anderson;Viviane Vives;Lee Stringer;Darryl Cox;Loyd Catlett;Sid Hillman;Auden Thornton;Mary Ashleigh Green;Jenni Tooley;Grant Garrison;Naya Castinado","Mark Pellington","United States"
"1172",161100,"Wood, The (1999)","Drama",1999-07-16,"1999","7","United States","Bona Fide Productions;MTV Films",6e+06,8515223,106,"Elayn J. Taylor;Omar Epps;Richard T. Jones;Sean Nelson;Duane Finley;Trent Cameron;Malinda Williams;Patricia Belcher;Taye Diggs;Tamala Jones;De'aundre Bonds;Cynthia Martells;Wyking Jones;Geoffrey Blackshire;Jascha Washington;Aiysha Sinclair;Melvin Lyons;Sam Hiona","Rick Famuyiwa","United States"
"1176",157503,"Drop Dead Gorgeous (1999)","Comedy",1999-07-23,"1999","7","United StatesGermany","New Line Cinema;Capella International;KC Medien",1.5e+07,3986269,97,"Kirsten Dunst;Denise Richards;Ellen Barkin;Allison Janney;Kirstie Alley;Sam McMurray;Mindy Sterling;Brittany Murphy;Amy Adams;Laurie A. Sinclair;Shannon Nelson;Tara Redepenning;Sarah Stewart;Alexandra Holden;Brooke Elise Bushman;Matt Malloy;Michael McShane;Will Sasso","Michael Patrick Jann","United States"
"1183",162830,"Twin Falls Idaho (1999)","Drama",2000-03-29,"2000","3","United States","Free Range Films;Fresh Produce Company;Seattle Pacific Investments",5e+05,49849,111,"Michael Polish;Mark Polish;Michele Hicks;Jon Gries;Patrick Bauchau;Garrett Morris;William Katt;Lesley Ann Warren;Teresa Hill;Robert Beecher;Jill Andre;Ant;Holly Woodlawn;Sasha Alexander;Socorra Mora;Mary-Pat Green;Patty Maloney","Michael Polish","United States"
"1187",90774,"Brighton Beach Memoirs (1986)","Comedy",1986-12-25,"1986","12","United States","Rastar Pictures",1.8e+07,2580750,108,"Blythe Danner;Jonathan Silverman;Stacey Glick;Lisa Waltz;Judith Ivey;Bob Dishy;Brian Drillinger;James Handy;Bette Henritze;Steven Hill;David Margulies;Fyvush Finkel;Kathleen Doyle;Alan Weeks;Marilyn Cooper;Jason Alexander;Christian Baskous;Brian Evers","Gene Saks","United States"
"1190",88939,"Color Purple, The (1985)","Drama",1986-02-07,"1986","2","United States","Warner Bros.;Amblin Entertainment;The Guber-Peters Company",1.5e+07,1710333,154,"Danny Glover;Whoopi Goldberg;Oprah Winfrey;Margaret Avery;Willard E. Pugh;Akosua Busia;Desreta Jackson;Adolph Caesar;Rae Dawn Chong;Dana Ivey;Leonard Jackson;Bennet Guillory;John Patton Jr.;Carl Anderson;Susan Beaubian;James Tillis;Phillip Strong;Laurence Fishburne","Steven Spielberg","United States"
"1192",91530,"Mission, The (1986)","Drama",1986-10-31,"1986","10","United KingdomFrance","Warner Bros.;Goldcrest Films International;Kingsmere Productions Ltd.",24500000,40366,125,"Robert De Niro;Jeremy Irons;Ray McAnally;Aidan Quinn;Cherie Lunghi;Ronald Pickup;Chuck Low;Liam Neeson;Bercelio Moya;Sigifredo Ismare;Asuncion Ontiveros;Alejandrino Moya;Daniel Berrigan;Rolf Gray;Álvaro Guerrero;Tony Lawn;Joe Daly;Carlos Duplat","Roland Joffé","United Kingdom"
"1198",92627,"Bedroom Window, The (1987)","Thriller",1987-01-16,"1987","1","United States","De Laurentiis Entertainment Group (DEG)",8300000,2919657,112,"Steve Guttenberg;Elizabeth McGovern;Isabelle Huppert;Paul Shenar;Carl Lumbly;Wallace Shawn;Frederick Coffin;Brad Greenquist;Robert Schenkkan;Maury Chaykin;Sara Carlson;Mark Margolis;Kate McGregor-Stewart;Penelope Allen;Myvanwy Jenn;Francis V. Guinan Jr.;Kevin O'Rourke;Sydney Conrad Shapiro","Curtis Hanson","United States"
"1199",89816,"Plenty (1985)","Drama",1985-09-20,"1985","9","United KingdomUnited States","Pressman Productions;RKO Pictures",1e+07,436266,121,"Meryl Streep;Sam Neill;André Maranne;Charles Dance;Tristram Jellinek;Peter Forbes-Robertson;Hugo De Vernier;James Taylor;John Gielgud;Tracey Ullman;Ian Wallace;Andy de la Tour;Hugh Laurie;Mitch Davies;Christopher Fairbank;Lindsay Ingram;Richard Hope;Sting","Fred Schepisi","United Kingdom"
"1200",144168,"Dick (1999)","Comedy",1999-08-04,"1999","8","United StatesCanadaFrance","Canal+ Droits Audiovisuels;Pacific Western;Phoenix Pictures",1.3e+07,2210267,94,"Kirsten Dunst;Michelle Williams;Dan Hedaya;Will Ferrell;Bruce McCulloch;Teri Garr;David Foley;Jim Breuer;Ana Gasteyer;Harry Shearer;Saul Rubinek;Devon Gummersall;Ted McGinley;Ryan Reynolds;G.D. Spradlin;Shannon Lawson;Karl Pruner;Brenda Devine","Andrew Fleming","United States"
"1205",131325,"Bowfinger (1999)","Comedy",1999-08-13,"1999","8","United States","Universal Pictures;Imagine Entertainment",5.5e+07,18062550,97,"Steve Martin;Eddie Murphy;Heather Graham;Christine Baranski;Jamie Kennedy;Barry Newman;Adam Alexi-Malle;Kohl Sudduth;Terence Stamp;Robert Downey Jr.;Alejandro Patiño;Alfred De Contreras;Ramiro Fabian;Johnny Sanchez;Claude Brooks;Kevin Scannell;John Prosky;Michael Dempsey","Frank Oz","United States"
"1206",120620,"Brokedown Palace (1999)","Drama",1999-08-13,"1999","8","United States","Fox 2000 Pictures;Adam Fields Productions;Twentieth Century Fox",2.5e+07,3871616,100,"Claire Danes;Kate Beckinsale;Bill Pullman;Jacqueline Kim;Lou Diamond Phillips;Daniel Lapaine;Tom Amandes;Aimee Graham;John Doe;Kay Tong Lim;Beulah Quo;Henry O;Bahni Turpin;Amanda De Cadenet;Inthira Charoenpura;Lilia Cuntapay;Somsuda Chotikasupa;Maya Goodwin","Jonathan Kaplan","United States"
"1207",165710,"Detroit Rock City (1999)","Comedy",1999-08-13,"1999","8","United States","New Line Cinema;Takoma Entertainment Group;Base 12 Productions",3.4e+07,2005512,95,"Edward Furlong;Giuseppe Andrews;James DeBello;Sam Huntington;Lin Shaye;Melanie Lynskey;Natasha Lyonne;Miles Dougal;Nick Scotti;Emmanuelle Chriqui;David Quane;Rodger Barton;Kathryn Haggis;David Gardner;Shannon Tweed;Kristin Booth;Joe Flaherty;Cody Jones","Adam Rifkin","United States"
"1209",91178,"Haunted Honeymoon (1986)","Comedy",1986-07-25,"1986","7","United KingdomUnited States","Orion Pictures",1.3e+07,2768003,82,"Gene Wilder;Gilda Radner;Dom DeLuise;Jonathan Pryce;Bryan Pringle;Peter Vaughan;Eve Ferret;Paul L. Smith;Julann Griffin;Jim Carter;Jo Ross;Roger Ashton-Griffiths;Billy J. Mitchell;R.J. Bell;Ann Way;Will Kenton;Don Fellows;Lou Hirsch","Gene Wilder","United Kingdom"
"1210",88889,"Cat's Eye (1985)","Horror",1985-04-12,"1985","4","United StatesNetherlands","Dino De Laurentiis Company;Famous Films (II);International Film Corporation (II)",7e+06,3451191,94,"Drew Barrymore;James Woods;Alan King;Kenneth McMillan;Robert Hays;Candy Clark;James Naughton;Tony Munafo;Court Miller;Russell Horton;Patricia Benson;Mary D'Arcy;James Rebhorn;Jack Dillon;Susan Hawes;Shelly Burch;Sal Richards;Jesse Doran","Lewis Teague","United States"
"1211",77394,"Damien: Omen II (1978)","Horror",1978-06-09,"1978","6","United KingdomUnited States","Twentieth Century Fox;Harvey Bernhard Productions;Mace Neufeld Productions",6800000,3880880,107,"William Holden;Lee Grant;Jonathan Scott-Taylor;Robert Foxworth;Nicholas Pryor;Lew Ayres;Sylvia Sidney;Lance Henriksen;Elizabeth Shepherd;Lucas Donat;Allan Arbus;Fritz Ford;Meshach Taylor;John J. Newcombe;John Charles Burns;Paul Cook;Diane Daniels;Robert E. Ingham","Don Taylor;Mike Hodges(uncredited)","United Kingdom"
"1213",83530,"Airplane II: The Sequel (1982)","Comedy",1982-12-10,"1982","12","United States","Paramount Pictures;Howard W. Koch Productions",1.5e+07,5329208,85,"Robert Hays;Julie Hagerty;Lloyd Bridges;Raymond Burr;Chuck Connors;Rip Torn;John Dehner;Chad Everett;Peter Graves;Kent McCord;James A. Watson Jr.;William Shatner;Stephen Stucker;John Vernon;Al White;Sonny Bono;Laurene Landon;Wendy Phillips","Ken Finkleman","United States"
"1216",85995,"National Lampoon's Vacation (1983)","Comedy",1983-07-29,"1983","7","United States","National Lampoon;Warner Bros.",1.5e+07,8333358,98,"Chevy Chase;Beverly D'Angelo;Imogene Coca;Randy Quaid;Anthony Michael Hall;Dana Barron;Eddie Bracken;Brian Doyle-Murray;Miriam Flynn;James Keach;Eugene Levy;Frank McRae;John Candy;Christie Brinkley;Jane Krakowski;John P. Navin Jr.;Nathan Cook;Christopher Jackson","Harold Ramis","United States"
"1217",95188,"Funny Farm (1988)","Comedy",1988-06-03,"1988","6","United States","Cornelius Productions;Pan Arts;Warner Bros.",1.9e+07,5655439,101,"Chevy Chase;Madolyn Smith Osborne;Kevin O'Morrison;Joseph Maher;Jack Gilpin;Caris Corfman;William Severs;Mike Starr;Glenn Plummer;William Duell;Helen Lloyd Breed;Kit Le Fever;Dakin Matthews;William Newman;Alice Drummond;Brad Sullivan;Nesbitt Blaisdell;George Buck","George Roy Hill","United States"
"1220",102719,"Problem Child 2 (1991)","Comedy",1991-07-03,"1991","7","United States","Universal Pictures;Imagine Entertainment",1.5e+07,5372880,90,"John Ritter;Michael Oliver;Jack Warden;Laraine Newman;Amy Yasbeck;Ivyann Schwan;Gilbert Gottfried;Paul Willson;Alan Blumenfeld;Charlene Tilton;James Tolkan;Martha Quinn;Zach Grenier;Eric Edwards;Krystle Mataras;Tiffany Mataras;Dennis Redfield;Bill Warren","Brian Levant","United States"
"1228",188863,"Love Stinks (1999)","Comedy",1999-09-10,"1999","9","United States","Baumgarten-Prophet Entertainment",4e+06,1339575,94,"French Stewart;Bridgette Wilson-Sampras;Bill Bellamy;Tyra Banks;Steve Hytner;Jason Bateman;Tiffani Thiessen;Ellis Williams;Boogie Knights;Ivana Milicevic;Montrose Hagins;Renata Scott;Warren Littlefield;Lisa Amsterdam;Tom Gammill;Tim Hightower;Hal Spear;Shanna Moakler","Jeff Franklin","United States"
"1233",164108,"Muse, The (1999)","Comedy",1999-08-27,"1999","8","United States","October Films",1.5e+07,3926825,97,"Albert Brooks;Sharon Stone;Andie MacDowell;Jeff Bridges;Cybill Shepherd;Monica Mikala;Jamie Alexis;Marnie Shelton;Catherine MacNeal;Mark Feuerstein;Lorenzo Lamas;Jennifer Tilly;Bradley Whitford;Skip O'Brien;Aude Charles;Ange Billman;Gannon Daniels;Jennie Ventriss","Albert Brooks","United States"
"1236",125971,"Outside Providence (1999)","Comedy",1999-09-01,"1999","9","United States","Miramax;Eagle Beach",7e+06,2631411,96,"Shawn Hatosy;Amy Smart;Alec Baldwin;Tommy Bone;Samantha Lavigne;Jonathan Brandis;Adam LaVorgna;Jesse Leach;Jon Abrahams;Richard Jenkins;Mike Cerrone;George Wendt;Robert Turano;Kristen Shorten;Timothy Crowe;Meghan Duffy;Gabriel Mann;George Martin","Michael Corrente","United States"
"1240",88146,"Soldier's Story, A (1984)","Drama",1984-11-02,"1984","11","United States","Columbia Pictures;Caldix",6e+06,156383,101,"Howard E. Rollins Jr.;Adolph Caesar;Art Evans;David Alan Grier;David Harris;Dennis Lipscomb;Larry Riley;Robert Townsend;Denzel Washington;William Allen Young;Patti LaBelle;Wings Hauser;Scott Paulin;John Hancock;Trey Wilson;Patricia Brandkamp;Carl Dreher;Vaughn Reeves","Norman Jewison","United States"
"1243",181316,"Blue Streak (1999)","Comedy",1999-09-17,"1999","9","GermanyUnited States","Columbia Pictures;IndieProd Company Productions;Blue Streak Productions",6.5e+07,19208806,93,"Martin Lawrence;Luke Wilson;Peter Greene;Dave Chappelle;Nicole Ari Parker;Graham Beckel;Robert Miranda;Olek Krupa;Saverio Guerra;Richard C. Sarafian;Tamala Jones;Julio Oscar Mechoso;Steve Rankin;Carmen Argenziano;John Hawkes;Frank Medrano;William Forsythe;Octavia Spencer","Les Mayfield","Germany"
"1245",173390,"Sugar Town (1999)","Comedy",2001-01-10,"2001","1","United KingdomUnited States","Channel Four Films;October Films",250000,42668,92,"Jade Gordon;John Taylor;Michael Des Barres;Martin Kemp;Larry Klein;John Doe;Lucinda Jenney;Marion Moseley;Veronica Nommenson;Elena Nommensen;Amelia Nommenson;Ally Sheedy;Nicholas Walker;Rosanna Arquette;Jeffrey McDonald;Catherine Munro;Kristina Hayes;Alyse Pozzo","Allison Anders;Kurt Voss","United Kingdom"
"1247",97390,"Fright Night Part II (1988)","Horror",1989-05-19,"1989","5","United States","Vista Organization",7500000,548231,104,"William Ragsdale;Roddy McDowall;Traci Lind;Julie Carmen;Jon Gries;Russell Clark;Brian Thompson;Merritt Butrick;Ernie Sabella;Matt Landers;Josh Richman;Karen Anders;Rochelle Ashana;Blair Tefkin;Alexander Folk;Scanlon Gail;Grant Owens;John Lafayette","Tommy Lee Wallace","United States"
"1251",120716,"Jakob the Liar (1999)","Drama",1999-09-24,"1999","9","United StatesFranceGermany","Columbia Pictures;Blue Wolf Productions;Kasso Inc. Productions",4.5e+07,2056647,120,"Robin Williams;Hannah Taylor Gordon;Éva Igó;István Bálint;Justus von Dohnányi;Kathleen Gati;Bob Balaban;Alan Arkin;Michael Jeter;Mark Margolis;János Gosztonyi;Liev Schreiber;Armin Mueller-Stahl;Ádám Rajhona;Antal Leisen;Mathieu Kassovitz;Péter Rudolf;Jan Becker","Peter Kassovitz","United States"
"1259",162360,"Happy, Texas (1999)","Comedy",1999-12-03,"1999","12","United States","Marked Entertainment;Miramax",2500000,72056,98,"Jeremy Northam;Steve Zahn;William H. Macy;Ally Walker;Illeana Douglas;M.C. Gainey;Ron Perlman;Mo Gaffney;Paul Dooley;Jillian Berard;Scarlett Pomers;Melissa Arnold;Cassie Silva;Tiffany Takara;Tim Bagley;Michael Hitchcock;Ed Stone;Rance Howard","Mark Illsley","United States"
"1264",167427,"Superstar (1999)","Comedy",1999-10-08,"1999","10","United StatesCanada","Broadway Pictures;SNL Studios",3.4e+07,8912743,81,"Molly Shannon;Will Ferrell;Elaine Hendrix;Harland Williams;Mark McKinney;Glynis Johns;Jason Blicker;Gerry Bamman;Emmy Laybourne;Jennifer Irwin;Rob Stefaniuk;Natalie Radford;Karyn Dwyer;Tom Green;Chuck Campbell;Jack Newman;Donna Hanover;Dan Redican","Bruce McCulloch","United States"
